"아이디","geometry","관리번호","관할경찰서","구","동","시설명","시설구분","주소","x좌표","y좌표"
"2635","MULTIPOINT(957170.310616209 1952132.9471668)","0","서울중부경찰서","서울구","","광희초등학교","초등학교","서울특별시 중구 다산로 269","127.015011","37.567567"
"2636","MULTIPOINT(956826.046841897 1950346.47422751)","0","서울중부경찰서","서울구","","한솔어린이집","어린이집","서울특별시 중구 다산로 32","127.011218","37.551449"
"2637","MULTIPOINT(956881.468266687 1950115.41518358)","0","서울중부경찰서","서울구","","수암유치원","유치원","서울특별시 중구 다산로 32","127.011859","37.549369"
"2638","MULTIPOINT(957461.846663607 1952097.60857962)","0","서울중부경찰서","서울구","","단우물어린이집","어린이집","서울특별시 중구 다산로 48길 36 주변","127.0183142","37.567262"
"2639","MULTIPOINT(957317.329810795 1950977.77811645)","0","서울중부경찰서","서울구","","청구어린이집","어린이집","서울특별시 중구 다산로24길 81","127.016743","37.557162"
"2640","MULTIPOINT(957549.051724923 1951469.86334844)","0","서울중부경찰서","서울구","","동화나라어린이집","어린이집","서울특별시 중구 다산로38길 80","127.019338","37.561608"
"2641","MULTIPOINT(956665.509775994 1950457.9253404)","0","서울중부경찰서","서울구","","약수어린이집","어린이집","서울특별시 중구 다산로6길 15","127.009394","37.552446"
"2642","MULTIPOINT(956798.498686218 1950467.55047357)","0","서울중부경찰서","서울구","","약수교회어린이집","어린이집","서울특별시 중구 다산로8길 32","127.010899","37.552539"
"2643","MULTIPOINT(953598.345568848 1952271.420573)","0","서울남대문경찰서","서울구","","덕수초등학교","초등학교","서울특별시 중구 덕수궁길 140","126.974556","37.568642"
"2644","MULTIPOINT(956883.944285416 1950779.34643996)","0","서울중부경찰서","서울구","","신일유치원","유치원","서울특별시 중구 동호로10길 27","127.011848","37.5553533"
"2645","MULTIPOINT(957093.912628351 1950679.26007448)","0","서울중부경찰서","서울구","","약수유치원","유치원","서울특별시 중구 동호로10길 30","127.014231","37.554461"
"2646","MULTIPOINT(956563.242020613 1950664.37871759)","0","서울중부경찰서","서울구","","성심어린이집","어린이집","서울특별시 중구 동호로15길 50","127.008224","37.554302"
"2647","MULTIPOINT(956639.445727489 1951200.85676995)","0","서울중부경찰서","서울구","","근화유치원","유치원","서울특별시 중구 동호로20길 24","127.009055","37.559141"
"2648","MULTIPOINT(956622.973111176 1949805.88615381)","0","서울중부경찰서","서울구","","남산숲어린이집","어린이집","서울특별시 중구 동호로5길 193","127.008951","37.546567"
"2649","MULTIPOINT(952974.439736584 1950841.58751493)","0","서울남대문경찰서","서울구","","중림어린이집","어린이집","서울특별시 중구 만리재로35길 12","126.967583","37.555723"
"2650","MULTIPOINT(954407.639271625 1951547.21254414)","0","서울남대문경찰서","서울구","","한성화교소학교","초등학교","서울특별시 중구 명동2길 35","126.983765","37.562155"
"2651","MULTIPOINT(953461.097275232 1951749.89642002)","0","서울남대문경찰서","서울구","","서울직장어린이집","어린이집","서울특별시 중구 서소문로11길 24","126.973035","37.56393448"
"2652","MULTIPOINT(954787.342898505 1951047.20000908)","0","서울중부경찰서","서울구","","리라초등학교","초등학교","서울특별시 중구 소파로2길7","126.988095","37.557667"
"2653","MULTIPOINT(952667.518127017 1950937.85983268)","0","서울남대문경찰서","서울구","","봉래초등학교","초등학교","서울특별시 중구 손기정로 73","126.964102","37.556575"
"2654","MULTIPOINT(952933.819357875 1951186.20193966)","0","서울남대문경찰서","서울구","","가명유치원","유치원","서울특별시 중구 중림로 27","126.967101","37.558827"
"2655","MULTIPOINT(956848.248235499 1951285.19855303)","0","서울중부경찰서","서울구","","장충초등학교","초등학교","서울특별시 중구 청구로17길40","127.0114141","37.559911"
"2656","MULTIPOINT(957127.289552973 1951395.36614205)","0","서울중부경찰서","서울구","","흥인초등학교","초등학교","서울특별시 중구 청구로6길 11","127.014567","37.560917"
"2657","MULTIPOINT(957090.598769252 1951541.89587854)","0","서울중부경찰서","서울구","","신당어린이집","어린이집","서울특별시 중구 청구로8길 41","127.014143","37.562236"
