지역구,어린이집명,주소
양천구,구립 마루어린이집,서울특별시 양천구 남부순환로83길 47 목동센트럴아이파크위브아파트 4단지
양천구,구립 나래어린이집,서울특별시 양천구 남부순환로83길 18 목동센트럴아이파크위브아파트 2단지
구로구,날아라어린이집,서울특별시 구로구 부광로 96-16
양천구,구립 가온어린이집,서울특별시 양천구 남부순환로83길 17 목동센트럴아이파크위브아파트 1단지
강동구,구립에코포레어린이집,서울특별시 강동구 천중로 253 이편한세상강동에코포레아파트 관리동 1층
송파구,거여키즈어린이집,"서울특별시 송파구 거마로 41 303동 102호(거여동, 현대3차아파트)"
동작구,구립다움어린이집,서울특별시 동작구 사당로 90 사당롯데캐슬골든포레 관리동 1층
영등포구,영등포든든어린이집,서울특별시 영등포구 대림로35가길 9
은평구,구립 응암행복어린이집,서울특별시 은평구 은평로 220
양천구,방아다리장난감도서관공동육아방(양천구육아종합지원센터),서울특별시 양천구 화곡로4길 10 6층
은평구,구립 응암샛별어린이집,서울특별시 은평구 은평로 220
마포구,신촌그랑어린이집,서울특별시 마포구 대흥로 175 관리동
강동구,이삭숲어린이집,서울특별시 강동구 동남로82길 29-8 이삭숲어린이집
서대문구,서대문든든어린이집,서울특별시 서대문구 거북골로 100 래미안루센티아아파트
서초구,한샘어린이집,서울특별시 서초구 방배로 285 한샘빌딩
마포구,행복타운어린이집,서울특별시 마포구 마포대로 144 마포T타운 2층
성동구,모두의 숲 어린이집,서울특별시 성동구 상원6나길 22-7
영등포구,신길센트럴자이 솔빛 어린이집,서울특별시 영등포구 신길로29길 17
강서구,구립 신태양어린이집,서울특별시 강서구 곰달래로31다길 25
은평구,한국환경산업기술원 초록꿈나무 직장어린이집,서울특별시 은평구 진흥로 215 A동
구로구,엔젤어린이집,서울특별시 구로구 디지털로31길 90 108동 103호
광진구,구립 아이와나무어린이집,서울특별시 광진구 천호대로123길 4-4
중랑구,꼬마사랑어린이집,서울특별시 중랑구 봉우재로6길 9 (면목동)
관악구,구립인헌어린이집,서울특별시 관악구 낙성대역14길 6
은평구,구립 이든어린이집,서울특별시 은평구 응암로30길 15
영등포구,서비스에이스 하람어린이집,서울특별시 영등포구 문래로28길 25 에스타워 3층(문래동3가)
용산구,국립중앙박물관 해누림 어린이집,서울특별시 용산구 서빙고로 137 국립중앙박물관
송파구,우아한어린이집,서울특별시 송파구 올림픽로32길 37-22
용산구,목멱어린이집,서울특별시 용산구 회나무로12나길 10
