사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,lat(위도),lon(경도)
2017082300100182.0,2017년 8월 23일 09시,수요일,서울특별시 노원구 공릉동,중상사고,0.0,1.0,1.0,0.0,차대사람 - 차도통행중,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,57세,상해없음,보행자,여,72세,중상,37.59158428948805,126.93506277457334
2017082300100354.0,2017년 8월 23일 15시,수요일,서울특별시 동작구 상도동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,58세,상해없음,보행자,여,6세,경상,37.62202666518763,127.07334161193724
2017082300100356.0,2017년 8월 23일 15시,수요일,서울특별시 양천구 신월동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승합,남,24세,상해없음,보행자,남,3세,경상,37.49555860798724,126.94927163644094
2017082300100427.0,2017년 8월 23일 17시,수요일,서울특별시 용산구 한남동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,보행자,남,11세,경상,37.51943075860535,126.83616001116428
2017082400100361.0,2017년 8월 24일 16시,목요일,서울특별시 중구 회현동1가,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,안전운전불이행,젖음/습기,흐림,기타 - 기타,화물,남,68세,상해없음,보행자,남,10세,경상,37.53695952044399,127.00033267069732
2017082500100386.0,2017년 8월 25일 16시,금요일,서울특별시 광진구 중곡동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,58세,상해없음,보행자,남,10세,경상,37.557573281857465,126.97944169961924
2017082500100435.0,2017년 8월 25일 17시,금요일,서울특별시 강동구 상일동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,59세,상해없음,보행자,여,8세,경상,37.56378754718519,127.08000356021806
2017082500100477.0,2017년 8월 25일 18시,금요일,서울특별시 도봉구 방학동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,보행자,남,9세,중상,37.553963012826486,127.17425422718054
2017082600100528.0,2017년 8월 26일 18시,토요일,서울특별시 성북구 동선동1가,경상사고,0.0,0.0,1.0,0.0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,26세,상해없음,보행자,여,4세,경상,37.66427495218997,127.0450829942516
2017082600100534.0,2017년 8월 26일 18시,토요일,서울특별시 양천구 목동,부상신고사고,0.0,0.0,0.0,1.0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,남,11세,부상신고,37.59179638901504,127.01738759744256
2017082700100212.0,2017년 8월 27일 13시,일요일,서울특별시 마포구 상암동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,자전거,남,41세,상해없음,보행자,여,8세,경상,37.51506106516855,126.87108463105704
2017082700100357.0,2017년 8월 27일 18시,일요일,서울특별시 중구 을지로6가,중상사고,0.0,2.0,0.0,0.0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,54세,상해없음,보행자,여,35세,중상,37.5593484553244,126.89079829263568
2017082800100152.0,2017년 8월 28일 09시,월요일,서울특별시 강남구 압구정동,부상신고사고,0.0,0.0,0.0,1.0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,49세,상해없음,보행자,여,36세,상해없음,37.568520052580055,127.00778808313234
2017082900100321.0,2017년 8월 29일 14시,화요일,서울특별시 구로구 구로동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,18세,상해없음,보행자,남,7세,경상,37.531985340223535,127.02690706181194
2017082900100433.0,2017년 8월 29일 17시,화요일,서울특별시 성동구 성수동1가,중상사고,0.0,1.0,1.0,0.0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,55세,상해없음,보행자,여,70세,중상,37.49331440208375,126.8733371822196
2017082900100472.0,2017년 8월 29일 18시,화요일,서울특별시 노원구 상계동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,33세,상해없음,보행자,여,7세,경상,37.54798268370909,127.0401756473051
2017083000100231.0,2017년 8월 30일 12시,수요일,서울특별시 강남구 개포동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,여,56세,상해없음,보행자,남,10세,중상,37.6697803458971,127.05406399177862
2017083000100308.0,2017년 8월 30일 15시,수요일,서울특별시 성동구 성수동1가,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,9세,경상,37.485019789652746,127.0582524388642
2017083000100435.0,2017년 8월 30일 18시,수요일,서울특별시 동작구 상도동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,42세,상해없음,보행자,남,5세,경상,37.54127542599476,127.04451830113857
